Model: ,Oscilloscope DSO-X 4022A
Serial Number:,MY57310245
Address: ,USBInstrument1
Date: ,2026-07-10 18:40:41

Sample Number,Time (s),2 (VOLT),
1,-0.005,2.19925417006016,
2,-0.004994885,3.37080228328705,
3,-0.00498977,2.86871023476124,
4,-0.004984655,3.37080228328705,
5,-0.00497954,3.37080228328705,
6,-0.004974425,3.87289433181286,
7,-0.00496931,3.37080228328705,
8,-0.004964195,3.37080228328705,
9,-0.00495908,2.86871023476124,
10,-0.004953965,3.20343826711178,
11,-0.00494885,3.20343826711178,
12,-0.004943735,3.03607425093651,
13,-0.00493862,3.53816629946232,
14,-0.004933505,3.20343826711178,
15,-0.00492839,3.37080228328705,
16,-0.004923275,3.53816629946232,
17,-0.00491816,3.37080228328705,
18,-0.004913045,3.37080228328705,
19,-0.00490793,3.53816629946232,
20,-0.004902815,3.37080228328705,
21,-0.0048977,-3.32375836372375,
22,-0.004892585,-3.82585041224957,
23,-0.00488747,-3.82585041224957,
24,-0.004882355,-3.49112237989903,
25,-0.00487724,-3.32375836372375,
26,-0.004872125,-3.32375836372375,
27,-0.00486701,-3.49112237989903,
28,-0.004861895,-3.49112237989903,
29,-0.00485678,-3.82585041224957,
30,-0.004851665,-3.32375836372375,
31,-0.00484655,-3.32375836372375,
32,-0.004841435,-3.99321442842484,
33,-0.00483632,-3.6584863960743,
34,-0.004831205,-3.15639434754848,
35,-0.00482609,-3.49112237989903,
36,-0.004820975,-3.49112237989903,
37,-0.00481586,-3.15639434754848,
38,-0.004810745,-3.49112237989903,
39,-0.00480563,-3.82585041224957,
40,-0.004800515,-3.6584863960743,
41,-0.0047954,3.53816629946232,
42,-0.004790285,3.20343826711178,
43,-0.00478517,4.04025834798813,
44,-0.004780055,3.20343826711178,
45,-0.00477494,3.20343826711178,
46,-0.004769825,3.37080228328705,
47,-0.00476471,3.20343826711178,
48,-0.004759595,3.53816629946232,
49,-0.00475448,3.20343826711178,
50,-0.004749365,3.53816629946232,
51,-0.00474425,3.20343826711178,
52,-0.004739135,3.37080228328705,
53,-0.00473402,3.37080228328705,
54,-0.004728905,3.37080228328705,
55,-0.00472379,3.20343826711178,
56,-0.004718675,3.37080228328705,
57,-0.00471356,3.20343826711178,
58,-0.004708445,3.20343826711178,
59,-0.00470333,3.37080228328705,
60,-0.004698215,-3.82585041224957,
61,-0.0046931,-3.49112237989903,
62,-0.004687985,-3.32375836372375,
63,-0.00468287,-3.6584863960743,
64,-0.004677755,-3.49112237989903,
65,-0.00467264,-3.49112237989903,
66,-0.004667525,-3.32375836372375,
67,-0.00466241,-3.49112237989903,
68,-0.004657295,-3.49112237989903,
69,-0.00465218,-3.82585041224957,
70,-0.004647065,-3.49112237989903,
71,-0.00464195,-3.6584863960743,
72,-0.004636835,-3.6584863960743,
73,-0.00463172,-3.6584863960743,
74,-0.004626605,-3.49112237989903,
75,-0.00462149,-3.49112237989903,
76,-0.004616375,-3.6584863960743,
77,-0.00461126,-3.99321442842484,
78,-0.004606145,-3.32375836372375,
79,-0.00460103,-3.82585041224957,
80,-0.004595915,-3.49112237989903,
81,-0.0045908,-3.6584863960743,
82,-0.004585685,-3.49112237989903,
83,-0.00458057,-3.32375836372375,
84,-0.004575455,-3.49112237989903,
85,-0.00457034,-3.6584863960743,
86,-0.004565225,-3.6584863960743,
87,-0.00456011,-3.6584863960743,
88,-0.004554995,-3.49112237989903,
89,-0.00454988,-3.49112237989903,
90,-0.004544765,-3.49112237989903,
91,-0.00453965,-3.49112237989903,
92,-0.004534535,-3.49112237989903,
93,-0.00452942,-3.6584863960743,
94,-0.004524305,-3.49112237989903,
95,-0.00451919,-3.49112237989903,
96,-0.004514075,-3.49112237989903,
97,-0.00450896,-3.32375836372375,
98,-0.004503845,-3.49112237989903,
99,-0.00449873,3.20343826711178,
100,-0.004493615,3.20343826711178,
101,-0.0044885,3.37080228328705,
102,-0.004483385,3.87289433181286,
103,-0.00447827,3.53816629946232,
104,-0.004473155,3.20343826711178,
105,-0.00446804,3.37080228328705,
106,-0.004462925,3.37080228328705,
107,-0.00445781,3.20343826711178,
108,-0.004452695,3.37080228328705,
109,-0.00444758,3.20343826711178,
110,-0.004442465,3.70553031563759,
111,-0.00443735,3.87289433181286,
112,-0.004432235,3.70553031563759,
113,-0.00442712,3.20343826711178,
114,-0.004422005,3.37080228328705,
115,-0.00441689,3.20343826711178,
116,-0.004411775,3.20343826711178,
117,-0.00440666,3.03607425093651,
118,-0.004401545,3.53816629946232,
119,-0.00439643,-3.49112237989903,
120,-0.004391315,-3.6584863960743,
121,-0.0043862,-3.32375836372375,
122,-0.004381085,-3.32375836372375,
123,-0.00437597,-3.6584863960743,
124,-0.004370855,-3.6584863960743,
125,-0.00436574,-3.49112237989903,
126,-0.004360625,-3.49112237989903,
127,-0.00435551,-3.49112237989903,
128,-0.004350395,-3.15639434754848,
129,-0.00434528,-3.49112237989903,
130,-0.004340165,-3.32375836372375,
131,-0.00433505,-3.82585041224957,
132,-0.004329935,-3.6584863960743,
133,-0.00432482,-3.49112237989903,
134,-0.004319705,-3.6584863960743,
