Model: ,Oscilloscope DSO-X 4022A
Serial Number:,MY57310245
Address: ,USBInstrument1
Date: ,2026-07-10 18:33:23

Sample Number,Time (s),2 (VOLT),
288,-0.003531995,-13.7003273665905,
289,-0.00352688,-13.7003273665905,
290,-0.003521765,-13.5329633504152,
291,-0.00351665,-13.7003273665905,
292,-0.003511535,-13.7003273665905,
293,-0.00350642,-13.7003273665905,
294,-0.003501305,-13.36559933424,
295,-0.00349619,13.9147353023291,
296,-0.003491075,14.0820993185043,
297,-0.00348596,13.7473712861538,
298,-0.003480845,13.9147353023291,
299,-0.00347573,13.9147353023291,
300,-0.003470615,14.0820993185043,
301,-0.0034655,13.9147353023291,
302,-0.003460385,13.9147353023291,
303,-0.00345527,13.7473712861538,
304,-0.003450155,14.0820993185043,
305,-0.00344504,13.9147353023291,
306,-0.003439925,13.9147353023291,
307,-0.00343481,13.9147353023291,
308,-0.003429695,13.9147353023291,
309,-0.00342458,13.9147353023291,
310,-0.003419465,13.9147353023291,
311,-0.00341435,13.7473712861538,
312,-0.003409235,14.0820993185043,
313,-0.00340412,13.7473712861538,
314,-0.003399005,13.9147353023291,
315,-0.00339389,13.7473712861538,
316,-0.003388775,13.9147353023291,
317,-0.00338366,13.9147353023291,
318,-0.003378545,13.9147353023291,
319,-0.00337343,13.5800072699785,
320,-0.003368315,13.9147353023291,
321,-0.0033632,13.7473712861538,
322,-0.003358085,13.9147353023291,
323,-0.00335297,13.7473712861538,
324,-0.003347855,13.9147353023291,
325,-0.00334274,13.9147353023291,
326,-0.003337625,13.7473712861538,
327,-0.00333251,13.9147353023291,
328,-0.003327395,14.0820993185043,
329,-0.00332228,13.7473712861538,
330,-0.003317165,13.9147353023291,
331,-0.00331205,13.7473712861538,
332,-0.003306935,14.0820993185043,
333,-0.00330182,13.7473712861538,
334,-0.003296705,-13.5329633504152,
335,-0.00329159,-13.5329633504152,
336,-0.003286475,-13.7003273665905,
337,-0.00328136,-13.7003273665905,
338,-0.003276245,-13.7003273665905,
339,-0.00327113,-13.5329633504152,
340,-0.003266015,-13.7003273665905,
341,-0.0032609,-13.5329633504152,
342,-0.003255785,-13.5329633504152,
343,-0.00325067,-13.7003273665905,
344,-0.003245555,-13.5329633504152,
345,-0.00324044,-13.7003273665905,
346,-0.003235325,-13.5329633504152,
