Model: ,Oscilloscope DSO-X 4022A
Serial Number:,MY57310245
Address: ,USBInstrument1
Date: ,2026-07-10 19:10:17

Sample Number,Time (s),1 (VOLT),2 (VOLT),
1,-0.00025,-0.0260666608810425,-1.7134313583374,
2,-0.000249744,-0.0260666608810425,-1.17786645889282,
3,-0.000249488,-0.0260666608810425,-1.78037697076797,
4,-0.000249232,-0.0260666608810425,-1.98121380805969,
5,-0.000248976,-0.0260666608810425,-1.84732258319855,
6,-0.00024872,-0.0260666608810425,-1.78037697076797,
7,-0.000248464,-0.0260666608810425,-1.84732258319855,
8,-0.000248208,-0.093012273311615,-1.78037697076797,
9,-0.000247952,-0.0260666608810425,-1.78037697076797,
10,-0.000247696,-0.0260666608810425,-1.78037697076797,
11,-0.00024744,0.04087895154953,-1.84732258319855,
12,-0.000247184,-0.0260666608810425,-1.64648574590683,
13,-0.000246928,0.04087895154953,-2.18205064535141,
14,-0.000246672,-0.0260666608810425,-1.91426819562912,
15,-0.000246416,-0.0260666608810425,-1.91426819562912,
16,-0.00024616,-0.0260666608810425,-1.98121380805969,
17,-0.000245904,-0.0260666608810425,-1.78037697076797,
18,-0.000245648,-0.0260666608810425,-1.78037697076797,
19,-0.000245392,-0.0260666608810425,-1.98121380805969,
20,-0.000245136,-0.0260666608810425,-1.84732258319855,
21,-0.00024488,-0.093012273311615,-2.24899625778198,
22,-0.000244624,-0.0260666608810425,-1.78037697076797,
23,-0.000244368,-0.0260666608810425,-1.78037697076797,
24,-0.000244112,-0.0260666608810425,-1.91426819562912,
25,-0.000243856,-0.0260666608810425,-1.7134313583374,
26,-0.0002436,-0.0260666608810425,-1.78037697076797,
27,-0.000243344,-0.0260666608810425,-1.98121380805969,
28,-0.000243088,-0.0260666608810425,-1.84732258319855,
29,-0.000242832,0.04087895154953,-1.64648574590683,
30,-0.000242576,-0.0260666608810425,-1.84732258319855,
31,-0.00024232,-0.0260666608810425,-1.98121380805969,
32,-0.000242064,-0.093012273311615,-1.91426819562912,
33,-0.000241808,-0.0260666608810425,-2.11510503292084,
34,-0.000241552,-0.0260666608810425,-1.91426819562912,
35,-0.000241296,-0.0260666608810425,-1.91426819562912,
36,-0.00024104,-0.0260666608810425,-1.91426819562912,
37,-0.000240784,0.04087895154953,-1.84732258319855,
38,-0.000240528,-0.0260666608810425,-2.18205064535141,
39,-0.000240272,0.04087895154953,-1.91426819562912,
40,-0.000240016,-0.0260666608810425,-1.78037697076797,
41,-0.00023976,-0.0260666608810425,-1.84732258319855,
42,-0.000239504,0.04087895154953,-1.57954013347626,
43,-0.000239248,0.04087895154953,-1.91426819562912,
44,-0.000238992,0.04087895154953,-1.84732258319855,
45,-0.000238736,-0.0260666608810425,-1.78037697076797,
46,-0.00023848,-0.0260666608810425,-1.84732258319855,
47,-0.000238224,-0.0260666608810425,-1.7134313583374,
48,-0.000237968,-0.0260666608810425,-1.91426819562912,
49,-0.000237712,-0.0260666608810425,-1.84732258319855,
50,-0.000237456,-0.0260666608810425,-1.91426819562912,
51,-0.0002372,-0.0260666608810425,-2.04815942049026,
52,-0.000236944,-0.0260666608810425,-1.84732258319855,
53,-0.000236688,-0.0260666608810425,-1.78037697076797,
54,-0.000236432,-0.0260666608810425,-1.78037697076797,
55,-0.000236176,-0.0260666608810425,-1.91426819562912,
56,-0.00023592,-0.0260666608810425,-1.91426819562912,
57,-0.000235664,-0.0260666608810425,-1.91426819562912,
58,-0.000235408,-0.0260666608810425,-1.84732258319855,
59,-0.000235152,-0.0260666608810425,-1.78037697076797,
60,-0.000234896,-0.0260666608810425,-1.78037697076797,
61,-0.00023464,-0.093012273311615,-1.84732258319855,
62,-0.000234384,-0.0260666608810425,-1.84732258319855,
63,-0.000234128,0.04087895154953,-1.7134313583374,
64,-0.000233872,-0.0260666608810425,-1.84732258319855,
65,-0.000233616,-0.0260666608810425,-1.78037697076797,
66,-0.00023336,-0.0260666608810425,-1.64648574590683,
67,-0.000233104,-0.0260666608810425,-1.84732258319855,
68,-0.000232848,-0.0260666608810425,-1.78037697076797,
69,-0.000232592,-0.0260666608810425,-1.7134313583374,
70,-0.000232336,-0.0260666608810425,-1.78037697076797,
71,-0.00023208,-0.0260666608810425,-1.7134313583374,
72,-0.000231824,-0.0260666608810425,-1.44564890861511,
73,-0.000231568,-0.0260666608810425,-1.98121380805969,
74,-0.000231312,-0.0260666608810425,-1.64648574590683,
75,-0.000231056,-0.0260666608810425,-1.78037697076797,
76,-0.0002308,0.04087895154953,-1.91426819562912,
77,-0.000230544,-0.0260666608810425,-1.7134313583374,
78,-0.000230288,-0.0260666608810425,-1.78037697076797,
79,-0.000230032,0.04087895154953,-1.84732258319855,
80,-0.000229776,-0.0260666608810425,-1.91426819562912,
81,-0.00022952,0.04087895154953,-2.24899625778198,
82,-0.000229264,-0.0260666608810425,-1.7134313583374,
83,-0.000229008,-0.0260666608810425,-1.84732258319855,
84,-0.000228752,-0.0260666608810425,-1.91426819562912,
85,-0.000228496,-0.093012273311615,-1.51259452104568,
86,-0.00022824,-0.0260666608810425,-1.84732258319855,
87,-0.000227984,-0.0260666608810425,-1.78037697076797,
88,-0.000227728,-0.0260666608810425,-1.84732258319855,
89,-0.000227472,0.04087895154953,-1.64648574590683,
90,-0.000227216,-0.0260666608810425,-1.51259452104568,
91,-0.00022696,-0.0260666608810425,-1.91426819562912,
92,-0.000226704,-0.0260666608810425,-1.91426819562912,
93,-0.000226448,0.04087895154953,-2.04815942049026,
94,-0.000226192,-0.093012273311615,-1.84732258319855,
95,-0.000225936,-0.0260666608810425,-1.91426819562912,
96,-0.00022568,-0.0260666608810425,-1.84732258319855,
97,-0.000225424,-0.0260666608810425,-1.98121380805969,
98,-0.000225168,-0.0260666608810425,-2.18205064535141,
99,-0.000224912,0.04087895154953,-1.98121380805969,
100,-0.000224656,-0.0260666608810425,1.16522997617722,
101,-0.0002244,-0.0260666608810425,1.7007948756218,
102,-0.000224144,-0.093012273311615,1.43301242589951,
103,-0.000223888,-0.0260666608810425,1.76774048805237,
104,-0.000223632,-0.093012273311615,1.7007948756218,
105,-0.000223376,-0.0260666608810425,1.56690365076065,
106,-0.00022312,-0.0260666608810425,1.49995803833008,
107,-0.000222864,-0.0260666608810425,1.49995803833008,
108,-0.000222608,-0.093012273311615,1.7007948756218,
109,-0.000222352,-0.0260666608810425,1.56690365076065,
110,-0.000222096,-0.0260666608810425,1.7007948756218,
111,-0.00022184,-0.159957885742188,1.83468610048294,
112,-0.000221584,-0.0260666608810425,1.56690365076065,
113,-0.000221328,-0.0260666608810425,1.7007948756218,
114,-0.000221072,-0.0260666608810425,1.56690365076065,
115,-0.000220816,-0.093012273311615,1.56690365076065,
116,-0.00022056,-0.0260666608810425,1.96857732534409,
117,-0.000220304,-0.0260666608810425,1.63384926319122,
118,-0.000220048,-0.0260666608810425,1.7007948756218,
119,-0.000219792,-0.0260666608810425,1.7007948756218,
120,-0.000219536,-0.0260666608810425,1.56690365076065,
121,-0.00021928,-0.0260666608810425,1.7007948756218,
122,-0.000219024,-0.0260666608810425,1.63384926319122,
123,-0.000218768,-0.0260666608810425,1.63384926319122,
124,-0.000218512,-0.0260666608810425,2.10246855020523,
125,-0.000218256,-0.0260666608810425,1.76774048805237,
126,-0.000218,-0.0260666608810425,1.83468610048294,
127,-0.000217744,-0.0260666608810425,1.7007948756218,
128,-0.000217488,-0.0260666608810425,1.63384926319122,
129,-0.000217232,-0.0260666608810425,1.56690365076065,
130,-0.000216976,-0.0260666608810425,1.49995803833008,
131,-0.00021672,-0.0260666608810425,1.56690365076065,
132,-0.000216464,-0.0260666608810425,1.23217558860779,
133,-0.000216208,-0.0260666608810425,1.63384926319122,
134,-0.000215952,-0.0260666608810425,1.7007948756218,
135,-0.000215696,-0.093012273311615,1.56690365076065,
136,-0.00021544,-0.0260666608810425,1.83468610048294,
137,-0.000215184,-0.0260666608810425,1.56690365076065,
138,-0.000214928,-0.0260666608810425,1.7007948756218,
139,-0.000214672,-0.0260666608810425,1.7007948756218,
140,-0.000214416,-0.0260666608810425,1.63384926319122,
141,-0.00021416,-0.0260666608810425,2.10246855020523,
142,-0.000213904,-0.093012273311615,1.49995803833008,
143,-0.000213648,-0.0260666608810425,1.63384926319122,
144,-0.000213392,-0.0260666608810425,1.7007948756218,
145,-0.000213136,-0.0260666608810425,1.36606681346893,
146,-0.00021288,-0.0260666608810425,1.83468610048294,
147,-0.000212624,0.04087895154953,1.7007948756218,
148,-0.000212368,-0.0260666608810425,1.56690365076065,
149,-0.000212112,-0.093012273311615,1.49995803833008,
150,-0.000211856,-0.0260666608810425,1.43301242589951,
151,-0.0002116,0.04087895154953,1.7007948756218,
152,-0.000211344,-0.0260666608810425,1.7007948756218,
153,-0.000211088,-0.0260666608810425,1.83468610048294,
154,-0.000210832,-0.0260666608810425,1.76774048805237,
155,-0.000210576,-0.093012273311615,1.7007948756218,
156,-0.00021032,-0.0260666608810425,1.7007948756218,
157,-0.000210064,-0.0260666608810425,1.7007948756218,
158,-0.000209808,-0.0260666608810425,1.90163171291351,
159,-0.000209552,-0.0260666608810425,1.7007948756218,
160,-0.000209296,-0.0260666608810425,1.76774048805237,
161,-0.00020904,-0.093012273311615,1.7007948756218,
162,-0.000208784,-0.0260666608810425,1.7007948756218,
