time [s] 	 density [10^18/m^-3]
0.79500 0.01983
0.79501 -0.04207
0.79501 -0.02531
0.79502 0.03648
0.79502 -0.00042
0.79503 -0.00667
0.79503 0.01112
0.79504 0.00013
0.79504 -0.03958
0.79505 0.00935
0.79505 -0.08541
0.79506 -0.08920
0.79506 0.01365
0.79507 -0.05820
0.79507 -0.00261
0.79508 0.00583
0.79508 -0.02070
0.79509 0.04744
0.79509 0.03758
0.79510 0.01730
0.79510 0.04102
0.79511 -0.00881
0.79511 -0.02069
0.79512 -0.02027
0.79512 0.01298
0.79513 0.07486
0.79513 0.04110
0.79514 -0.01683
0.79514 -0.03327
0.79515 -0.02589
0.79515 -0.01704
0.79516 -0.00233
0.79516 -0.00292
0.79517 -0.04611
0.79517 -0.05715
0.79518 0.08718
0.79518 0.03647
0.79519 -0.07586
0.79519 -0.05548
0.79520 -0.06385
0.79520 -0.00509
0.79521 -0.01860
0.79521 -0.01435
0.79522 0.04279
0.79522 0.03151
0.79523 -0.03030
0.79523 -0.06025
0.79524 -0.07702
0.79524 -0.03504
0.79525 0.00844
0.79525 -0.00833
0.79526 0.05870
0.79526 0.01269
0.79527 -0.07258
0.79527 0.00732
0.79528 0.02815
0.79528 -0.02151
0.79529 -0.02517
0.79529 0.04341
0.79530 -0.02633
0.79530 -0.08117
0.79531 0.03001
0.79531 0.01414
0.79532 -0.01948
0.79532 -0.02057
0.79533 -0.04810
0.79533 0.01426
0.79534 0.07610
0.79534 -0.01103
0.79535 0.02496
0.79535 -0.01505
0.79536 -0.07755
0.79536 0.00986
0.79537 0.02784
0.79537 0.02400
0.79538 0.01895
0.79538 -0.02990
0.79539 -0.05128
0.79539 0.02099
0.79540 0.06349
0.79540 -0.01961
0.79541 -0.09176
0.79541 0.00094
0.79542 -0.00980
0.79542 -0.01628
0.79543 0.03652
0.79543 -0.00182
0.79544 -0.03009
0.79544 -0.00628
0.79545 0.04845
0.79545 0.01804
0.79546 -0.05359
0.79546 -0.04082
0.79547 0.01255
0.79547 0.05314
0.79548 0.09952
0.79548 0.00919
0.79549 -0.07660
0.79549 -0.01846
0.79550 0.04861
0.79550 -0.00330
0.79551 0.02378
0.79551 0.08476
0.79552 -0.03342
0.79552 -0.05514
0.79553 -0.01178
0.79553 0.01248
0.79554 -0.03677
0.79554 -0.00989
0.79555 0.04209
0.79555 -0.04672
0.79556 0.02580
0.79556 0.03745
0.79557 0.00342
0.79557 0.03031
0.79558 0.01106
0.79558 0.00735
0.79559 -0.00563
0.79559 0.03938
0.79560 0.02969
0.79560 0.02381
0.79561 0.04633
0.79561 0.00019
0.79562 -0.01558
0.79562 -0.04575
0.79563 0.00969
0.79563 0.02260
0.79564 -0.00593
0.79564 0.02481
0.79565 -0.00642
0.79565 0.01503
0.79566 -0.04814
0.79566 -0.00542
0.79567 -0.00681
0.79567 -0.01815
0.79568 -0.00715
0.79568 -0.01231
0.79569 0.07000
0.79569 -0.02089
0.79570 0.00783
0.79570 -0.03127
0.79571 -0.09517
0.79571 -0.03498
0.79572 -0.02202
0.79572 0.05273
0.79573 -0.04616
0.79573 -0.01856
0.79574 -0.02076
0.79574 -0.03440
0.79575 0.04386
0.79575 0.00986
0.79576 0.06398
0.79576 0.00676
0.79577 -0.01531
0.79577 -0.02855
0.79578 -0.03005
0.79578 0.05759
0.79579 0.03712
0.79579 -0.01548
0.79580 -0.01031
0.79580 0.00929
0.79581 -0.00549
0.79581 0.01442
0.79582 0.03949
0.79582 0.00853
0.79583 0.02157
0.79583 0.02049
0.79584 0.00002
0.79584 -0.03266
0.79585 -0.00598
0.79585 0.01704
0.79586 0.01868
0.79586 0.03165
0.79587 0.02284
0.79587 -0.07007
0.79588 -0.05473
0.79588 -0.02058
0.79589 -0.02416
0.79589 0.06833
0.79590 0.04727
0.79590 -0.01749
0.79591 -0.10323
0.79591 -0.02058
0.79592 -0.00716
0.79592 -0.00161
0.79593 0.05838
0.79593 -0.01950
0.79594 -0.01499
0.79594 0.00146
0.79595 -0.07927
0.79595 -0.01631
0.79596 0.09415
0.79596 0.03917
0.79597 0.03662
0.79597 -0.01893
0.79598 -0.05545
0.79598 -0.02528
0.79599 -0.06146
0.79599 0.01176
0.79600 0.06458
0.79600 -0.03317
0.79601 -0.05870
0.79601 -0.05028
0.79602 -0.01209
0.79602 0.00275
0.79603 0.00027
0.79603 -0.00569
0.79604 0.02045
0.79604 -0.02791
0.79605 -0.07412
0.79605 0.05289
0.79606 0.05167
0.79606 0.01269
0.79607 0.00390
0.79607 -0.02024
0.79608 0.05552
0.79608 0.01209
0.79609 -0.05085
0.79609 -0.04251
0.79610 -0.03715
0.79610 -0.04258
0.79611 -0.01279
0.79611 0.04373
0.79612 0.02968
0.79612 0.01749
0.79613 -0.04144
0.79613 -0.01368
0.79614 0.00042
0.79614 0.04248
0.79615 0.02929
0.79615 -0.04786
0.79616 -0.01523
0.79616 -0.02217
0.79617 -0.00362
0.79617 -0.02293
0.79618 0.00390
0.79618 -0.02720
0.79619 -0.02984
0.79619 -0.00673
0.79620 -0.01032
0.79620 0.03063
0.79621 -0.04143
0.79621 -0.04271
0.79622 -0.00431
0.79622 -0.02672
0.79623 -0.05083
0.79623 -0.08776
0.79624 -0.03923
0.79624 0.00155
0.79625 0.01396
0.79625 0.00629
0.79626 -0.02190
0.79626 0.07414
0.79627 -0.01056
0.79627 0.00545
0.79628 0.04776
0.79628 -0.01162
0.79629 -0.00272
0.79629 -0.00620
0.79630 0.04493
0.79630 0.02037
0.79631 -0.02348
0.79631 0.06311
0.79632 0.02995
0.79632 0.06248
0.79633 0.05100
0.79633 0.00651
0.79634 0.10273
0.79634 0.02754
0.79635 -0.01878
0.79635 0.05524
0.79636 0.02623
0.79636 -0.01213
0.79637 0.03683
0.79637 0.00264
0.79638 -0.04056
0.79638 -0.05345
0.79639 0.03959
0.79639 0.04233
0.79640 -0.03078
0.79640 0.01076
0.79641 0.04358
0.79641 -0.00044
0.79642 0.00210
0.79642 0.02664
0.79643 0.04826
0.79643 0.07009
0.79644 -0.00233
0.79644 -0.03801
0.79645 -0.07908
0.79645 -0.06219
0.79646 0.01257
0.79646 0.04941
0.79647 0.06630
0.79647 -0.05203
0.79648 -0.01222
0.79648 -0.00152
0.79649 -0.04156
0.79649 -0.02362
0.79650 0.02733
0.79650 0.06151
0.79651 -0.03491
0.79651 -0.04104
0.79652 -0.07977
0.79652 -0.02706
0.79653 -0.00050
0.79653 -0.03693
0.79654 0.03676
0.79654 0.06095
0.79655 -0.04437
0.79655 -0.03125
0.79656 0.01451
0.79656 -0.01612
